url,page_title,proposed_l1,proposed_l2,proposed_l3,proposed_l4,url_flag,writer_placement_rule
https://docs.mistral.ai/,Docs Home,Get Started,,,,, Homepage — orientation and persona entry points only
https://docs.mistral.ai/getting-started,Getting Started,Get Started,,,,, Section landing page
https://docs.mistral.ai/getting-started/quickstarts,Quickstarts,Get Started,Quickstarts,,,, All quickstarts — 5-15 min first success by persona
https://docs.mistral.ai/getting-started/quickstarts/le-chat,Le Chat Quickstarts,Get Started,Quickstarts,Le Chat,,, Quickstart index for Le Chat persona
https://docs.mistral.ai/getting-started/quickstarts/le-chat/draft-research-report,Draft a Research Report,Get Started,Quickstarts,Le Chat,Draft a Research Report,DUPLICATE of /le-chat/quickstarts/draft-research-report,First Le Chat success — under 15 min no code required
https://docs.mistral.ai/getting-started/quickstarts/le-chat/create-custom-agent,Create a Custom Agent,Get Started,Quickstarts,Le Chat,Create a Custom Agent,DUPLICATE of /le-chat/quickstarts/create-custom-agent,First Le Chat success — under 15 min no code required
https://docs.mistral.ai/getting-started/quickstarts/le-chat/analyze-data,Analyze Data with Code Interpreter,Get Started,Quickstarts,Le Chat,Analyze Data,DUPLICATE of /le-chat/quickstarts/analyze-data,First Le Chat success — under 15 min no code required
https://docs.mistral.ai/getting-started/quickstarts/developer,Developer Quickstarts,Get Started,Quickstarts,Developer,,, Quickstart index for developer/API persona
https://docs.mistral.ai/getting-started/quickstarts/developer/first-api-request,First API Request,Get Started,Quickstarts,Developer,First API Request,DUPLICATE of /developers/quickstarts/first-api-request,First developer success — install SDK + first call under 5 min
https://docs.mistral.ai/getting-started/quickstarts/developer/build-an-agent,Build an Agent,Get Started,Quickstarts,Developer,Build an Agent,DUPLICATE of /developers/quickstarts/build-an-agent,First developer success — under 10 min working agent
https://docs.mistral.ai/getting-started/quickstarts/developer/rag-document-search,RAG Document Search,Get Started,Quickstarts,Developer,RAG Document Search,DUPLICATE of /developers/quickstarts/rag-document-search,First developer success — under 15 min RAG pipeline
https://docs.mistral.ai/getting-started/quickstarts/studio,Studio Quickstarts,Get Started,Quickstarts,Studio,,, Quickstart index for Studio console persona
https://docs.mistral.ai/getting-started/quickstarts/studio/activate-and-generate-api-key,Activate & Generate API Key,Get Started,Quickstarts,Studio,Activate & Get API Key,,First Studio success — account setup under 5 min
https://docs.mistral.ai/getting-started/quickstarts/studio/test-model-playground,Test a Model in the Playground,Get Started,Quickstarts,Studio,Test in Playground,,First Studio success — prompt a model without code
https://docs.mistral.ai/getting-started/quickstarts/vibe,Mistral Vibe Quickstarts,Get Started,Quickstarts,Mistral Vibe,,, Quickstart index for Vibe CLI persona
https://docs.mistral.ai/getting-started/quickstarts/vibe/install-and-first-prompt,Install and First Prompt,Get Started,Quickstarts,Mistral Vibe,Install and First Prompt,,First Vibe success — install CLI and run a prompt
https://docs.mistral.ai/getting-started/quickstarts/vibe/scaffold-a-project,Scaffold a Project,Get Started,Quickstarts,Mistral Vibe,Scaffold a Project,,First Vibe success — generate project files from natural language
https://docs.mistral.ai/getting-started/quickstarts/admin,Admin Quickstarts,Get Started,Quickstarts,Admin,,, Quickstart index for org admin persona
https://docs.mistral.ai/getting-started/quickstarts/admin/create-organization,Create an Organization,Get Started,Quickstarts,Admin,Create an Organization,DUPLICATE of /admin/quickstarts/create-organization,First admin success — org + workspace + billing setup
https://docs.mistral.ai/getting-started/quickstarts/admin/configure-sso,Configure SSO,Get Started,Quickstarts,Admin,Configure SSO,DUPLICATE of /admin/quickstarts/configure-sso,First admin success — SAML SSO setup
https://docs.mistral.ai/getting-started/quickstarts/admin/manage-workspaces,Manage Workspaces & Keys,Get Started,Quickstarts,Admin,Manage Workspaces & Keys,DUPLICATE of /admin/quickstarts/manage-workspaces,First admin success — workspace isolation and key management
https://docs.mistral.ai/getting-started/le-chat-studio-admin,Le Chat vs Studio vs Admin,Get Started,Choose Your Path,,,KEEP — valuable orientation,Orientation: helps user identify which product surface they need
